47394 businesses are restaurants.
('O8S5hYJ1SMc8fA4QBtVujA', 'La Bastringue')
('oxBIZ7SpJBN42aEyznfnAQ', "Gionino's Pizzeria")
('1vHn0CGk7h4UOuOnFmnDTQ', 'Cafe Afify')
('RGdP-12DY6Ub3eJJ4ocR4Q', "Casey's Resto-Bar")
('eb7wb5yABe12tSoeCpLSbw', 'Voltaire Restaurant')
('4nDC6pKEF7v4VgO4DNKgmQ', 'Chez Yolande')
('YUxp_du_s8VX_uJxUEypHQ', 'Panera Bread')
('K8_YZFwve16cvj84RzS_vQ', "Tim Horton's")
('fPRMjWUHLnNeL4xjrMV9CQ', "Domino's Pizza")
('78iP9YpLaDKeiF6OB7dIzQ', 'DQ Grill & Chill Restaurant')
('Y_wVqdHHkmfxdaHGOPffqQ', "Kato's Cajun")
('sFrw-5dZbNMX-8UEEf0A7A', 'Pizzeria Magpie')
('HyoPFfBHLK0lKVHWEdFpvQ', 'China Kitchen LV')
('X3ec1nuK2BmOULN4Kk3Fgw', 'The Haymaker Restaurant')
('U1vRCl0GoHF2xSb782sciw', 'Smashburger')
('pnuvweJUwuXr_E2BfoBHdA', 'Istanbul Kebab')
('7AcewhFBJmOV44rDkq_pVQ', 'Magpie Pizza')
('50PT9wDS2nOb7Sux_kcP1g', 'Subway')
('66EYUS3iichq-Gn6KjgX2A', "Filiberto's Mexican Food")
('60uVlCUiLJvq3xNo_3bhQQ', "Carmine's Pizza Kitchen")
('orGCyrtYZl9JOV5XIgxJEg', "McDonald's")
('l-2xwlocbVNu7S6NByVMMg', 'Eastern Treasures')
('7NurnM6G9b_2jTEKpIkQpg', 'Canbe Foods')
('PTzyGOAmhZJhrOR7ciDBQg', 'Peri-Peri Flame Grilled Chicken')
('mX1qFqKSPn1d9AqDPMF8kA', 'Zad Al Khair')
('M-bM5y8qdE-Z3mfZept1EA', 'Ohana Hawaiian Bbq')
('SESxUf6mDI-Gw9AkY0Tsww', 'Trattoria Casa Mia')
('d6O0I9dwf19VyEsrtXbUXw', 'Asian Monsoon')
('D1Mhqi69HAGeHhs-rB5-yA', 'Tim Hortons')
('O0XcTrBa8dR_kjoi4P8hww', "Terry's Restaurant & Bar")
('C5siCwJwP8zDy-XU9LMmZQ', 'Riff Raff Bar and Grill')
('lXE09qNzIeqgVLJGsylEXg', "Lupe's Taqueria")
('-7PX_FOoCwktlunImRyZdg', 'Pizza Taglio')
('DnH2DJxJPAXf0RqmaPoyig', 'Crabs R Us')
('A9aksp-YGK8FsCN9bXFLrg', "Papa John's")
('jwHtNvHBPafiAwM92jM8yA', 'Little Caesars Pizza')
('6DWFVwgm3d9jfBUOkJuANQ', 'Enzo')
('J7zTx8hrZ3p1h_7JCdFthg', 'Five Guys')
('_Hj3abUDVYloTI70EcdkLw', 'Vinaigrette')
('JnQHhDLEFcEHloRzIxygEA', 'Bistro Honda')
('fRNxnRKvoruMZzsQ8Ey1nw', 'Mother Goose')
('gpN0iUpDl7BN2IUwzB7oMQ', 'Kibo Sushi House')
('XxnnXca0ODSmMpS5QrWlCg', 'Taco Bell')
('zQec5M_zrLE1HQ7G786WuA', 'Bounty Grill')
('K3790-2nF-iHvfPMnthLaQ', 'Coreana')
('KpOIEyVlCGfoJA3iO6E2kQ', 'Uni Sushi')
('0TYd9CxJMqaqO6svyWym6A', 'Shawarma Land')
('qbQ1qZx6eTy7pOOXMBfQNQ', 'Boom Breakfast & Co')
('5dKPd5PpUyz_K3tOFfvDDg', 'Ben & Florentine')
('ggqmML5wN5RFv5QtHQw4iA', 'Lobster Me')
('bXGADvexLZ7sAiAuTfhYiA', 'Champps Americana')
('rJPIzQ_vfrNtZ5duPoksyg', 'Asian One Noodle Soup & Grill')
('8bMBrj5h3w4EnNyzhfDTrw', "Jimmy Z's Pizza")
('1zzzuXq0ov-x0aogiqHl-A', 'Thai Room Liberty Village')
('VSgrQWkpv15FJuqmNE3srg', "Mitzi's Café")
('6lJB8vc2zNpHpZLuBxGU5A', 'Italian Delights')
('rkWOw7_yxu_1pjjHBDawMA', 'Restaurant Dans La Bouche')
('_TyYZvp3gLqPOT4xHkaGHQ', 'Buns Hamburger House')
('tBecXDdDmboDVwUu4kmOiA', "Nick's Place")
('lX84lB2lRYbqVjXNzICZZg', 'Firestone Grill')
('8pewDasd0KjSHI90hFo8xw', "Churrasqueira Vira's BBQ")
('BeDZUyWuT6IKRX5TpV5egQ', 'Y2 Cafe')
('nxlKAOnNJzyPOjFCPX2_Bw', 'Beantown Tavern')
('rzWFku9477oIT4THhKwaXQ', 'Stock In Trade')
('uBZq-ny6OgE2_J4ejH6OUg', 'Shakes & Cones')
('xCL38K0oPgK3ydzg4CrvKg', "Simon's Hot Dogs")
('kc6o93h3pvfAUQZT-pFGsw', 'Extreme Pita')
('sW3oXGgDbbOC3YkiFKZNMQ', 'Chipotle Mexican Grill')
('mljVLg3inB8h2L6wKC-szQ', 'Pho on 7')
('LIw4HP5XwJ1nSlcSxIiXKg', "Samurai Sam's")
('HiqYus6muaBFlZtHhES7XQ', 'Del Taco')
('IYjR5-x-pJk_dDscpGVMPg', 'Blossom Grille')
('Z5jtjK4LGIkaARQrLKS-Lg', 'Jack In the Box')
('nlVjdQq9FzdQ3bfy-8y80g', 'The Dor-Stop Restaurant')
('CP7TRCpeBr1sTtWqcfRHxQ', "McDonald's")
('8-4EI1VyBQsMEvScE4LEJw', 'The Copper Chimney')
('3o73JwZ8UXekr7scp8VeWg', 'Buffet Casa Corfu')
('5Dnt0murgRVjXzAoXlOMLQ', 'Tandoori Masson')
('j15kddEJUysWMcQZxod51g', 'Tomaydo Tomahhdo')
('FMaokAzcwspICbGDiYGVNA', 'Royal Orchard Thai Cuisine')
('KLEq6wOySURxlZtgl88Ztg', 'Papa Rocks')
('xSs1Z1OrWC_KmhY0SPKJ1Q', 'Shiki Japanese Restaurant')
('Q_adT88BLalj0dRlnD_ibw', 'Uncle Pon Chinese Restaurant')
('rCoAHVl3tXXAE_Kl4MVgWg', 'Thai Basil')
('Gh1BoQNMGkh91pSHqvDRAA', 'Thai Style Noodle House 2')
('3FlWR_osNPb8dcqLgHebHw', "Mimi's Cafe")
('cdM5AEK3ff832Z8gFe1Lzg', 'Restaurant Chase')
('wPF-aYk0RRA3oOOxVnbMTg', 'Chez Sophie')
('ISzpUnmcKJdOH1q2jPmLYg', 'Touhenboku Ramen')
('Nt1yt4ManiApH31xm6roBQ', 'Pizza Hut')
('CHFw_V836nIKpWtqMP4E5g', 'El Patron Mexican Grill & Cantina')
('pk6-Q5vWGD_B2kUg1Lagng', 'Five Guys')
('cSS85_t1Ilh2PdBKL4C4dw', 'Cinnaholic')
('57aBx6Mo_VRk_kMA8J5Efg', 'Taqueria La Unica')
('Oay1s30mw7g02s1dJUs9zw', 'The Eden')
('XioUqNhRWhAevh9OhFnsCQ', "McDonald's")
('VYByx4yXYiZDeiaVVus7HQ', 'Mon ChiCha Bistro')
('rUq7zZc-dWzC9H3KOPnsMQ', "Wendy's")
('bbnpPdoRymorHJLY2owBiQ', 'The Market Cafe and Wine Bar')
('i99T5tkhG5NKqONE1OqcEg', 'Chung Gi Wa Sushi Japanese & Korean Restaurant')
('KLfGPkaaL4fV0_Dk0ZWchQ', "Jac's Cafe")
('KnaIbUk-eQm_tEsENO1oFw', 'Ohio Kabob Grill')
('zeiaHxtK2fTUz_jlPdIKPQ', 'Aviv Restaurant')
('u8j0gZ9nX6h0-d80GKoXoQ', 'Maison Bagatelle')
('v_XG6rpmOIqxMYyTfNKjaQ', 'Square-Boy Drive-In')
('saljMuo0eSMWy-C7yjKaRA', "Ray's Country Smokehouse & Grill")
('MZkP-I91Df4XgmVelGBGng', 'Fillmore Coffee')
('Fu_MNxmXW0neptI-ShZRpw', 'Tasty Station')
('f29HwpckASrGkxKnB00XTA', 'Sushi Guru')
('MUQS2XkrFl8QxCUHgSIzLA', "Dessy B's Steak House")
('-Glmj_sxqCu0F3G62kFt1Q', 'Mazzone & Sons Bakery')
('XZ7eQLjyGXf6y69UT4SGhg', 'Cafe Breizh')
('sbb9isKQySeqf8l_rLKjXA', 'The Deck')
('de2E6-wKURd0RLJaq8mrTg', "Happy's Pizza")
('TuA6RNMVHAlqyOKDrgaKPw', "Commander's Palace")
('3XE-poXz9CeDao-Q7pqkTw', 'SEABLUE by Michael Mina')
('w-eGy1D9PARuSHxbaS_FEA', 'Henhouse Cafe')
('mo9f_mTHKNFR94gzYzW-4w', 'Bow River Vietnamese Cuisine')
('2wyAreH_GbzAOiigM7hXUA', 'Kim Foo')
('wCEIvbgs9p7RYapa-34wIw', 'Bazille')
('pyZkGdnTwpRh5tFWfdmQEg', "Chin's Asia Fresh")
('Aw-Fkzq0uDEHJJZ0xBdOwQ', 'Old Country Buffet')
('-ouvCdkuZJgHixwyAhB8Nw', "Pete's Fish & Chips")
('AR9Lf9MIsBqc52qlyKIpcg', 'Villa Fresh Italian Kitchen')
('IaDZzKbU-5qyU2wVxukLiQ', 'Love of Chocolate')
('X1fhHB9P4tl8R4YDy-QbvA', 'Chicken & Waffles For The People')
('dPbzlRWQzBlVdhkkDigfOw', 'Jack In the Box')
('XNVUXM8xY-slNbcPAr-w8Q', 'Potato Noodle Soup of Bai')
('sDyTfafJfhb_5ewii6TEjg', 'Mucho Burrito')
('hUva_6Cy-s6bHe-6H-tuoQ', 'Mary Browns Chicken')
('aHDJO8v0WfTRSE2NblNpDw', 'Chipotle Mexican Grill')
('GLUwW6rCrMTAX2QbUpye-g', "Fib's Fine Italian Beef & Sausage")
('J1KKxEsRWiTqp9-nMCV8Vg', 'Hyderabad Palace')
('5jLZwFR3BCppSqttdtFO7A', 'Oceanaire Seafood Room')
('SZOvVtg0mGOQcNzzcH6Qow', 'Park One Cafe')
('ux6ZekIlKJbJUKWRe7RjUQ', "Jun's Korean Restaurant")
('eab04KSBbf30FqB4cH8erQ', 'Umami Ramen & Dumpling Bar')
('Fc1Stez0Me3UiIVT-pgRCg', "Romeo's Pizza")
('UXDoc76N59G6p3RUH5S--w', "Chase's Diner")
('lmZ9Y2t288yLeHd9rCgN3A', 'Asian Munchies')
('khL_L9KDB1iqhplKTBH-BQ', "Kelsey's")
('XOBitS7BqU2ouS2oDhH0wA', 'Finestre Modern Gastronomy')
('YC7Kj5pYsgoBLo8NDN1-CQ', 'Shiraz Persian Cuisine')
('-sSUtare_A_jWarLr3B20A', 'Restaurant Nic-Pic')
('lKH_cqeaeVpHdsO2dK58OA', 'Smashburger')
('PcPN_HyvtZpCZ0b_4l_45Q', 'Five Guys')
('IKwEt2WJH8jSQip1irB1rg', "McDonald's")
('Yajo9-m23_0axIinbB8ygQ', "Romano's Pizza & Cafe")
('H8NK_pWGq4i3L92ZpaUaGg', 'Cancun')
('fJ1bjai10zAHCsG6bij8jg', 'Ô Claf')
('7pm1vcJD11eNI_RaFwI3kA', 'Super Wok I')
('L1KkmY4vTgCrS1J5aUFMtA', "Sam's Market")
('oFr0OXSXo3hebonHyFYYFQ', 'The Destination Cafe')
('Y7VMbKRnxhu61sdu39_sZw', 'Masala Mantra')
('VEorEVsg8z7Ame1oSYNBdA', 'MOD Pizza')
('Yuw9XD4Mz56KwxlyO6VmbA', 'Marconi')
('hrkIQJhNISQEuo1EwfiugQ', 'Lennys Subs')
('vxFrGfeQCtc5AzPKkMHHgA', 'Holy Guacamole ')
('nYacYMUTYhogZErC4NyLmw', 'Timjas Thai Chinese')
('Rr0ZigFhRXjBrvaHo0BTCQ', 'Olocuilta Restaurant')
('UwZUPI7VAQAZZ0Gv0LV8nw', 'Café Allegro')
('KMKZ2HK91lSySfs3C0a21Q', 'Teappuccino')
('br2M2b-CsXI0HY0RXvHl0w', 'El Sombrero')
('AvnXU3n6uRDA_1J4lJEbuw', "Q's Shawarma")
('SeMczUVuKhVwruoJfrThtQ', 'El Rincon Sinaloense')
('eQgqJBe-XGH8HAeZA-dWAw', 'Wasabi Sushi')
('mpu9vXwm57D3IKuLn13zjA', "Cecelia's Pizza Kitchen")
('rMVi-Vn_mN_X9J1ZSl1lWA', 'Baja Fresh')
('DiCMYxT69I22-1nfsvYAJQ', 'Gourmet Burger Co')
('kKTXiGVLEVpPA7r2R6baVw', "Uncle Joe's Bar & Grill")
('r1vcpe1gZ7XHg2sgveoQ8A', 'The DERRICK Gin Mill & Kitchen')
('COuznKd_gb_N8hlOy3_i9w', 'Zinc At 668')
('Ze4VPogvcD7inc3QuvY_yg', 'The Markham Station Restaurant')
('2_hC_X9K080F8zWP4UUB4g', 'Chamango')
('U1ZpRirMDXF_4_MCFAcmvg', 'Le Poisson Rouge')
('BnNCSJO2NDvjqJVWp2EeBQ', 'Cavalier Lounge & Restaurant')
('Y7lpoA_lJ1rx3NNqHMgGwA', 'Nom Nom Burger')
('FU6KQ01FMtqddIHSaJli4Q', "Punchy's Diner")
('KYkUtRB1QKrI6Twov98leA', 'Einstein Bros Bagels')
('NMQb_TvWEOGkaZDrNC03wA', 'Kanbai')
('VWKByGlKg8c4sS5zj_cGWw', 'Sushi Palace')
('7pdll0khx8wPMB6q4b96sQ', 'En Cachette')
('SMC0yXThEmpCrW0BwaE6cg', 'Oakville Fish N Chips')
('BAbRAGFnht4BM0QG_OM1Og', "Grandpa's Pizza")
('AY4WY_rfrQum3Ad_ohNhVw', 'Sultan of Samosas')
('zKJ4KcZAfTNBIM7OvkVv3A', 'E 30th Street Cafe')
('5qtc1s-TKdgzPccKwY4SRw', 'Silk Pagoda Restaurant')
('oG5Sz7phCksWWjITJlgJNA', 'Outback Steakhouse')
('WTuBrN0z2h7xvTaP7eN_XA', 'Royal House')
('JeIcFqVl8iOrAWc-BUPHIw', 'Pho Khanh Hoa')
('o5nPu-ITfZ2OYx-6cU3moQ', 'Beanz Coffee Cafe')
('zHq_el0ieOY-FmzkxTgYWw', 'Cowboys Taphouse')
('elpS_xeOX_S5obTwx55kjg', 'Diamond China 2')
('9X67qSbHnfYgx_Df1zZFnA', "Smokin' Bones")
('Njc2gHb5Z_ufkA_ow7hKqw', 'Amsterdam Barrel House')
('ukahZaFp2t-zc7UhQ1mzDg', 'Manrijangsung Korean Restaurant')
('eodi6JzCwKn9lgjZjsOAGw', 'Glendale Airport Restaurant')
('DU2btqXJkYR1_V3ix_bb2g', 'Pizza Patron')
('XHVwfpAR4cna4zboZ5rPtA', 'Brrats Deli')
('3o4DskK2ooIekswJWiOuAg', 'Mint Mark')
('ICy-YxFn_DD86_LV0ye5cw', 'Kelseys Original Roadhouse')
('VHl_CX2rfWviSQdvrpmnyw', 'Tower Deli')
('j4C0NelU_RzYMz0jXS-lMg', 'Pizzaiolo')
('wlY7T5ue3lL8Hcf1r_Ts2A', 'The Taste of Chicago')
('cRTMAbJiyd6xJ9eKj357YQ', 'Best Burger')
('LgfFsCtutx28J_Onmrr-OA', 'Subway')
('SV9a5efxEVkVYW6hQHe7Iw', 'Coco Loco')
('aghOCY7m-I_8tNA9FnRcjg', 'ChiAm Restaurant')
('tI7dXg2UboJozj28v7sjLw', 'Culvers')
('R8L9VLO5jHfzPA5rHiujIA', "Culver's")
('h2hJyBYCIXU2_om6LYHWHA', 'Cold Beers & Cheeseburgers')
('GrwvBAEALujIOPQeOfN1vA', 'Jalapeno Inferno')
('AsVR-X40wAzI7z7oRpsbTA', 'Cuisine Du Cambodge')
('2cl9TETYE3CdzljPtdIbjA', "Sami's Cafe & Diner")
('fmke0ozj83GAebHEdbnlfw', 'Zoes Kitchen')
('UE3AvVnaPEBPneVahYT2eA', 'The White Chocolate Grill')
('GuiXABDep7_6IVEWPGm-fg', "Wendy's")
('du3ByDOljqO31wgRkvX5Nw', 'Courthouse Tavern')
('Z1nwIf9ULtlyel59fvYxWA', "McDonald's")
('VEcI0bURmJtf0B9UPSEMDA', 'Millano Pizzeria')
('0_8IfdlkZ90DG2oOrKQisQ', 'Mayflower Seafood Restaurant')
('nPTvNrnvL6IuBbYnGOaDSg', 'Sala Thai')
('NFyB1bp9a7tGB2cnSjOUDw', 'Hogtown Smoke')
('C2C37kwDZ332qwlx_Cg4nw', "Wanda's Waffles Bakery - Espresso Bar")
('AhQu7mLtmGlp8U2I-SV_jA', 'El Guero Mexican Grill')
('9x6YjEmCwErs1UTFuYDOOQ', 'House of Cues Cafe')
('5OAO9TxfvsvccFFD4pjmeg', "Chacho's Fine Mexican Dining")
('1YNfwe0liq2afvbNQT0LSA', 'Mi Tierra Restaurant')
('SUd3IyEN7n5OYEGyt_U5lg', "Jefe's Taco Shop")
('ALcx2zdNBacKOQ9rZMG-TA', 'Maru')
('kl3JZkFV9hNnhOJtmfesNg', 'Novara')
('dN3-yXUI6ybiLhO-lF5oQg', 'Tin Tin Congee Chinese Restaurant')
('SRUHJIKqhvKu2BFDTSoPww', 'Adar Kosher Pizza')
('TD3IX1KfkJ3X-llJ9sLunA', 'Dosa Paradise')
('tw8I1hZdlGpwO2QaAIeQWg', 'Fuji Grill Buffet')
('nAdghiInFhvkq9dycI0Psw', 'Pizza Pavilion')
('FLJdtRvqReuvJfEb4nZVBw', 'Pizza St Viateur')
('zrQ1zKWC-W2PCvwjBururQ', 'Pineapple Park LV')
('lsLelczQjIZLHVt2-e44lA', 'S+O Restaurant')
('_kH0FjXR4ZcNG9ZsJ2TT3g', 'Pizza Hut')
('f9PFMqQqVL3RHtlI-6VJcw', 'Tim Hortons')
('G3B1B_2hZBgZVSBZZiJYbA', "Blaze Fast-Fire'd Pizza")
('vlKAEQ1ftb8x_e3dtvyiqg', 'Jonah James')
('OyePizJqSbjIjvsEHqoOaQ', "Chicho's")
('sV2SXZF2ZySzYyMP5hMybw', 'Cottonwood Station Eatery')
('UFvLouGNq5q3w-0Ud_HP7w', 'Buddyz A Chicago Pizzeria')
('Zyt6rHcIBdYNgj4BTzaz2g', 'Le Grill Barroso')
('9QnlJICgw57Xl1r7ZBKUWQ', "Chuck E. Cheese's")
('h-psPOmlY0mCOflb3S3rdQ', 'Chennai Chettinaad Palace')
('f-v1fvtnbdw_QQRsCnwH-g', 'Fractured Prune Doughnuts')
('beb_QLcQySKwYFPyVu6eJw', "Pasquale's Pizzeria")
('O0zyXuEw_aojAK5ILW6WJA', 'New Northern Dumplings')
('MfblbwLiA9A_6Kih-mBfag', 'Café Le Dépanneur')
('WWH9yYIPK4aXZQ6J1nKYBw', 'Yuanyuan Chinese Restaurant')
('pavvyp73Cv6cASbKCLy8aw', 'Shahi Masala Paan')
('GxzEsd-81hVP6C2h6wMvBw', 'Big Beef Bowl')
('5aBEf-LO_mic_CMqLLbDaA', 'Bar Salumi')
('quYlYKkiZ5qRLdu-_hew7g', 'Burger King')
('LMkG1msUz1RpQBYS6pc_WA', 'Dairy Queen')
('uOikGhlsOKcZ-xATB-YtUg', 'Hero Certified Burgers - Major Mackenzie/Leslie')
('dAVgrmzqBfn85zTgDP1UgQ', 'Got Que?')
('OFtUeb8tTv50WyflyiR9DQ', "McDonald's")
('dX90qyHzfC4Cxh-lNBAEgQ', 'Sarahs Kitchen')
('Vs4r5pjEwlgt9lUr_6jiGQ', 'Boucherie Magnan')
('W1cboNmS6QWJHJBq3Kbx3g', "North Bristol Sportsman's Club")
('v8GgrqLTs_NZZl2tkyvOgA', 'Cleveland Clinic Cafeteria')
('q_5UjRes47GZfQ2cd67wpA', 'Bamboo Bubble Tea')
('Bdr7ij6ajTpIER8ju_738g', 'Fatburger')
('SJo_IjvzdRtCvZVN0cbrRQ', 'The Blue Door Cafe & Bakery')
('-xZJhgTTsZQ0O2cjnGmUTw', 'Tati Cafe')
('qO6CWdRFfbOqDJ2UOulpaA', 'Chen & Wok')
('8aWe-EYQy79J5zw_TJB2nQ', 'Matador Pizza & Steak House')
('UDKAqeNly36J_VYvxWxnnA', 'Urban')
('7J_8O6w79raFRSORc3bRew', 'AZ Pho & Grill')
('Zp2vJfHciG9IiXfmtH5Wdw', 'Beta Bites')
('a-Mo7Ipu_c5y21mmg0-F7g', 'Agio')
('Lv9wzkvPrVG-VdPGcw53_A', 'Fishman Wharf Seafood')
('ZrtROjmux0QieMkwqlnnTA', 'Ristorante Quattro')
('QID6lFz37QHS2ocwM9kOGA', "Bishop's Pizza III")
('1JUSswQgG0bBA0nFtVu1Cw', 'Dervish Mediterranean & Turkish Grill')
('JWWTsnMnNVFXVEJhghOa2A', 'Restaurant Le Coin Grec')
('JJi7c7uiTzCqeWNTsldgXQ', 'Red Tea House')
('f5O7v_X_jCg2itqacRfxhg', 'Sansotei Ramen')
('_K63HbZBVQSBCvQicQdl-A', 'Satay Brothers')
('vMpJzMFst_9GP4boeqWIRg', 'Congee Queen')
('hyIxO-5zyLH7TJJe4YSRRA', 'Sunset Grill')
('Rmv_8JgdZQ439xXMc389Kw', 'Habibiz Cafe')
('401Ma310RUt_Vdl7DmCNYA', 'Popeyes Louisiana Kitchen')
('mlHwA-JpSi7hU3xnEu7aQw', 'Hi Tea')
('Ps7wKLxW1WA1rzwvp3myVA', 'Dudley & Dudley')
('jztJ83rtqanw_ss29oY_sQ', 'Teriyaki Experience')
('yz6ggIGCnSMur4aGa_CdKA', 'Red Lobster')
('10Jk5ilimXrfAq8JJ1gISg', 'Saigon Grille')
('2TEM6-5_8BRgxsVI1KLa8Q', 'Demetris Pizza')
('eYmZiVDJg-W7ZZYVXOLmXA', 'Sushi Sonora')
('UEmjxMxWPAPbFg1I7Sy-MQ', 'Quick Pita')
('L3e0ZBj7zDSYMNaj0LATkA', "Cho's Wok Restaurant")
('2lPLbTenaBH3SGHgpwM54A', 'Pho Lan')
('ESC1tS28OueKX5akvrM_Ww', 'Pizza Hut')
('RwxLMhe-uw9Swr_hSlgtkA', 'Jack In the Box')
('Y41j6G0liC4JS3Fzpu364w', 'Il Giardino Ristorante Italiano')
('CO4fxcVqYdXmZgY0gv8oQQ', "Luigi's 2 For 1 Pizza")
('ozbJnrIXXOLWmriHdUnI6g', 'Panera Bread')
('OAsYaD7nLC2kDuqO4uaoIQ', "Badamo's Pizza")
('8yb5gF97PCDE5zbK19Iwpg', 'Otani Steakhouse and Sushi')
('I2lDmQHDxnUKbEBJuJCW6w', 'Hunan East')
('5P7zzVhWvO8nXGPdy7xqhw', "LaMar's Donuts & Coffee")
('CBOsWj63K1_O1m2Ounz7bQ', 'Ucan')
('PRsiM1hkoAIb-e7ov8SMkA', 'Sandpresso')
('HxLaiPWJ0YTeqhQerHfcTw', 'Jace Pinoy 2')
('rVZfapnQgyVLsNWA583u-A', 'Grand Sign Kitchen')
('9OaeSZ-JqYSnOTWP3GD2rg', 'La Famille')
('QPmeZrxpWkKBV_p8RW_lnA', 'The Panini People')
('lVvHfjD3Q79OUZq2ZuN7EA', 'Boneyard Grill')
('Bz75D7cx4bhHGuwc20IN1A', 'Pita Land')
('kZZlnTbRMDKngBAIy26dhg', "Applebee's Neighborhood Grill & Bar")
('x8jNsE4EAYCsecNNlYU02Q', 'Cafe Verdi Rebel')
('j3SHAiF8OIlY3kUPnAAlKw', 'House Of Leng - Mallard Creek')
('-Mm4YqCDM5CqSDDh7HI6Zw', 'Crust')
('sEWmZeYpzVSvZ8GPDcpFiw', 'Mm Mm Pizza')
('EuJTDzqFSyntGaUogZZFeA', "JB's Frozen Gold")
('yhw2I6Duco2g1XpjaLpzqg', "Pumpernickel's")
('j2TKvVKLMgfJKe_UPtGOVg', 'That BBQ Joint')
('SWS5gooAPjG3BITQyNj_Qg', "Fusilli's")
('STLglfaKvGbuMHCV5B6jjA', 'Blue Seas Express & Catering AZ')
('2hS8-tlTHGP7AuzTkmfZzw', 'Oasis Raspados')
('522GgMvOvzaKCEX6BfAtvg', 'La Reyna Mexican Restaurant & Mariscos')
('CPcy22Hd2F7z0EKG66FMRA', 'The Old House')
('MT_bLCpVa5o-juJgwfLwUw', 'Burger King Restaurant')
('Vq36oaAd0wljJtRj8cgU3w', 'O Bar & Grill')
('qG_WEgPa8MBo1dPUOkTMlw', 'In-N-Out Burger')
('AFL43sQNnLsEhw-jspA2xA', 'Melt Ballpark')
('Vu_BoGOSL70odzqCBr_vIg', 'Maharaja Vegetarian Street Food')
('8reRvd7xjNMNizvbMsPvMg', "Rally's Hamburgers")
('4WmI1fnjvfI5OyV1B6emAQ', 'New Choice Restaurant')
('AE3Qz_POf13piq2Z-RA5Kg', "Wendy's")
('lqPuSiWypNCACEMhArSZ2A', 'Subway')
('GdYvxyIZetApni8u32DS9w', 'Cafe Riis')
('0zAJMAk4TbSm9XNQr9ks0A', 'Subway')
('gUjohbxvaPoHrw41FwkVOA', 'Chinois')
('hDwlVqoOOFuWX6DG41QP5g', 'China City')
('VZIolawmWugA7wH9rfyAWQ', "Peter's Chung King")
('mQkzRJ2I0LGG6Cv4EbEjEQ', 'Brunchworks Cafe')
('ghuKomm-gMEG15rcqAJ0ZQ', 'Subway')
('SVGApDPNdpFlEjwRQThCxA', "Juan's Flaming Fajitas & Cantina")
('JCnFvoh7lU8PF_Yhh8bgOw', 'HuHot Mongolian Grill')
('W8apgXmOxESpoL_EeogC5w', 'Fukumimi Ramen')
('T5CdfrZWw-uW9Y5L_sddqQ', 'Police Station Pizza')
('wGh7BXk_Yg7VXgb-_VObGQ', 'Belle Pizzelle European Bakery & Cafe')
('1OJUGceftGbvw2ke2LigpA', 'Wasabi')
('COq9tlt6lPGUiMbEpHmv_w', 'Hot Dog On A Stick')
('3bM9rmjbaLOrlS--dRzZAw', 'El Rodeo Authentic Mexican Restaurant')
('8cn8zqkyz-UpGKXcKeIRYA', "Wasabi Jane's Venetiaen")
('5qdMR7QOcDtxAr92SCuYbA', 'Big Wong Restaurant')
('czeihVQNDXMlAq_H5_T4sA', 'Franktuary')
('ySBvgchqN-sJmvUQVcTpnw', 'Del Taco')
('mgkzOlvtT_PUHIt1ftjcPQ', 'Station 43 Tavern')
('_LE7iJS_cjButuESEUGnHw', "Domino's Pizza")
('xULATz2siGXOPia614mg2A', "Lulu's Noodles")
('iVxtmA5K0YHUVqeYuZ41KQ', 'Sushi Tower')
('5Eq-hllRQnae4OY6sAzNOQ', 'Little Caesar Pizza')
('S_F4XmLUZFv9Uzbjy44_NA', 'Tabriz Persian Cookhouse')
('WEv5UoT2W2lKDq5ptXEniQ', 'Pizza Hut')
('U3gBH2iJxlajlMSOP9UtNw', 'Nguyên Huong')
('9wS_BQBh9VGEb0645XBrhA', 'Casa Ramos')
('JmpKrJdlATqWQJ2WRmZqBw', 'Wildberri')
('yYL95YmG-2lI33G9ZLseyQ', 'Health Gourmet')
('0Va62tNCwj3YVJQ78hzdgg', 'Pita Lite')
('qPX9kv7S-jzl7aUzlo60-Q', 'PURE taqueria')
('DL7V1_chkWkZtyG4_xNYfw', 'Pei Wei')
('A8C2iIM0MSwz-0DLJBGX8w', 'Chicken King')
('3crXQdhIGM6C_VHzN7TPaA', 'Pita Pit')
('dgKjGMbcJF5WvOlyKcw1yA', 'Colonia')
('MKYcOZSpMwJK7uwacK13EA', 'Smallman Galley')
('N5dkbfyNWZPxOMWDiJp7TQ', 'Le Cheese Truck')
('El5JZDDP6dI8nbls2g-B4Q', 'Phat Burrito')
('exTvmUdtlQXIZBh_sMJwGg', 'Chez Heng')
('ak0zg848hiMkT1hQwnIf0w', 'Koffee Kup Cafeteria')
('W1vydY_gBcNQVsOGlkdtDA', 'Pizza Brutta')
('ccQhq9pSd_5wj1yMwiM7iA', "Amando's Bros")
('CUivTcULsu5MJIYYNVm1zw', 'Hana Japanese Eatery')
('k-T281ENFhA7FMCyLVpQvg', 'Pho 72')
('swfdlAMXwV8OjYD5nkA6nQ', 'China Palace of Wexford')
('P6bvtpWjiltJHsxtPAm2_g', "Wendy's")
('1q7bkDzXU6SyiyUcoHhziQ', 'Taco Bell')
('5EMadlOW4sta6CEtJHf9uQ', 'Keriwa Cafe')
