9797 businesses are not restaurants.
('Apn5Q_b6Nz61Tq4XzPdf9A', 'Minhas Micro Brewery')
('U-2-_MrmHPawNcGRYRoDqw', "Champ's Sports Grill & Lounge")
('FdRHqEdH5QIFdWGQ9CcFSw', 'Giant Eagle')
('F2PcvHf7G8QwCDSJ1-7fFQ', 'Paupers Pub')
('GyEQOrxwFiGA3ZVPuhXchA', 'KFC')
('Wc7Hld-DTJbss8CndeIylw', 'The Wilcox Gastropub')
('JHorcZdXHhJZTOh4N6NDkg', 'Cowboys Casino')
('q7MorRPzU_J-iekeDKUKgw', 'Reposado Bar & Lounge')
('zQ5XaV3mLkGE5iOU3ANnyw', 'No Whey! Vegan Chocolate Candies')
('qBRlwvEuAeTBh_yQLJ4ZVg', 'Bières et Compagnie')
('qO7dpBAVxbrR4GbtR2uCOw', "Heck's Café")
('eKbN4KVQYgGt3flbYqfXzw', 'Café dei Campi')
('ZhjU0FkCIaG43F83TwSN8w', "Dave & Buster's")
('2CGXZdCDEyM4Ba0Q-K8WyA', "Flip's Burgers & Brews")
('t_oa6AQg3ydpKHqz8wrkfg', 'Chick-fil-A')
('p6FPcgLymnpk_gAyQuW_Mw', 'El Paisano Market and Laila Check Cashing')
('-pgKwlpVerDiwTs7Ye6OQg', 'Toby Jug - Bolton')
('NUnWgiTM8zbMFudId8eNFw', "Filiberto's Mexican Food")
('HiAARrvWFZYzp1NMAtKxQQ', 'Orange Snail')
('ILlebFUb89ZozizpVGeHdQ', 'The Kennedy Public House')
('7Br0CXRXR7qcMbZwmaiI5Q', 'The Crown & Lion')
('wb-OCJAuP1upOefBs7xljQ', 'Santa Fe Mining Company')
('G3qjKFza3XCwW7tFRjim8w', 'Burgers Amore')
('CPgyfcsyPegLha1ajaSRoA', 'Pasta Too')
('xBqQzSE7XU_3cu24ygSsYw', 'Native Grill & Wings')
('uufFYaIiNeISTgzSsEcYwg', 'The Lodge Hualapai')
('5k8HPQwFI47DXp58DPNl0Q', "Eddy & Iggy's")
('TL4KaVKtHJfDeHrAjUFdeQ', "Mi'hito Sushi Laboratory")
('AhQ8vvgBOPJ4iFMC8ZbdNw', 'Super Tech')
('0h4RFNScYBmtNhXAdz_UBA', 'Chick-fil-A')
('rRAKvF-E_fnikHK4WSpXrA', 'QDOBA Mexican Eats')
('fEAf2x5pAG_qihrO1jU4uA', 'Cabanas Island Restaurant')
('x8LeHR_dc8OJPpSuubr2Vw', 'Bitters')
('rCzYYVmZxty56Ej50dU2aw', 'Le Butterblume')
('4uHhxjnb6hNMiOx40wg-9Q', 'Chuggers Bar & Grill')
('nnZU8CDlcDN8DBQ8KSqtmQ', 'Nitty Gritty - Sun Prairie')
('1Ru2OnRjvUCMiZtYE9z8JQ', 'Casa Di Vino')
('X1znRmmqMOSpN7LGVhAHQw', 'Bob Evans')
('YorfCHa1phmnIQhEkrOmLA', 'KFC')
('nLcg4vRa5HqplGuqxl_qrg', 'KFC')
('UtwSqYNAEIM4fqtSwyvYxQ', 'BottleHouse')
('jtE4O9Y1YdZAoKfWTtNC3w', 'The Forth')
('_ugTRSY8easGemi8smdaHA', "Mahall's Twenty Lanes")
('gRbbXVCy6P4C7qqJNJH9eA', 'Ginger Beef Peking House')
('etO9sOm3q_Od3NT-B7EXDA', 'KFC')
('6rTzYUGghp3XHPgOGaO8UQ', 'Hawthorne Food and Drink')
('aylmrtz1AaFQTeM62cul0Q', "Carrie Cerino's Ristorante & Party Center")
('etgHBzJzM5UZZKbzAphp-A', 'Dominos Pizza')
('sYX_x8GPm92pBRwbq_gTHQ', 'Bogeys Grill')
('nYm1RyJVbQOYHWhePzmmdw', "Pull'd")
('PfOCPjBrlQAnz__NXj9h_w', 'Brick House Tavern + Tap')
('GT9Hx_Na0vH3Na7ym9dp4A', 'Shooters Bar & Grill')
('LZpfW0R1pd6_DDwvjSuIgw', 'La Molisana')
('QGVPp99uf0IEph0-lTwD4w', 'Belly Backers')
('4oWEqa3paBylDXRfTPB-bA', "Jack Astor's Bar & Grill")
('ChZUym-m7ZcH_mfIlv2ckw', 'World Of Beer')
('2OKh-3ToognFAccCFAFJVg', "Brennan's Pub & Grub")
('Uk0_hruW6Ai5Tb47zo7IIQ', 'Spearmint Rhino Las Vegas')
('wo_HtBjiw6OotzGCFFlQ3w', "Waldo's BBQ")
('7FD_63Epi6Zryca-CWGsNQ', 'Green')
('Tvw-7siA6FtCSwRikb5FVA', 'Green Lantern Restaurant')
('zIY5QBp77eEiGHK8lAfWgg', "Mark's Grille & Catering")
('5dzXrZr7MyTB92_MSqV3Lw', 'Le Poke Shop')
('en2o4Y4kdDHIDc5P82EXBw', 'Simply Greek')
('EFdfBcpAkBIvDW4RolgEiw', 'Crave Sandwich Cafe & Catering')
('qcWaROXNmCd3JmOb7H78vg', "Latorre's Restaurant")
('KvlaL5wejWOaZayBxP_vUQ', "Dominic's")
('W2f8-YpBL0P7TYXM5e-Jig', 'KFC')
('0WPXDs4ini3D7jpiy1Daqw', 'The Market')
('FkJTuuqeJL4jHi2FojX_fg', 'Fune Japanese Restaurant')
('-kv7Uaf2hCtRCio8uESgwg', 'Roma Catering')
('sRqlwSng2nHqTZuggX__Mw', "Wilbert's Food & Music")
('RU2rqEfvUDXfpp5H8i9_kg', 'Honeybaked Ham Company & Cafe')
('awPIH7K4WA5BKJfiQlZcow', 'Bison Witches Bar & Deli')
('POvyRhl4VIZQTBRlZCb8cQ', 'Crazy Chicken & Crab')
('F0TQeC2VGQDZbYjtrL3QTQ', 'Bloom Bakery at Campus District')
('pBL32_x4eWZ6Pt4MFoEJLQ', 'Anderson Air Mechanical')
('gt9DHgG9S-k49whH8Ef9xg', 'Ichiban Fish Market')
('OfUdebkNASvsqBJ-97cdHA', 'WE Kitchen')
('7KUbrldK58sIV1K43p5a2w', "Chuck E. Cheese's")
('fXBZsZYPFDDhYk5ySJJQFA', 'Palma Pasta')
('zW2Nzu38bB5nlOhhim-O5A', "Hiroshi's Pub")
('X20bnlwr15SraBzvP7vC4g', 'Getting Baked')
('nvJjfEPYFXj8sJZcbt0k-Q', 'Bob Evans')
('19S0gFtg5GTX6CkiApJiAQ', 'Frijoles & Frescas Grilled Tacos')
('kzHSnHhYzqbTkGIdZ2oHpg', 'Bull & Finch Pub Restaurant')
('hKE5B07QdhEtUWE0bEqpQA', 'Viva Chicken')
('EF8PHciQ68dOPhgXyxefAg', 'Pepin')
('WCFz9KVJTtIXSVvD5NMYoQ', 'Chart House')
('-ed0Yc9on37RoIoG2ZgxBA', 'Le Thai')
('0bqV9uzFVz98Bn_RImcJTg', 'QDOBA Mexican Eats')
('LUd3UdlUvCr54H-7ttm0TQ', 'La Récolte')
('u8zsGuyvKObu54KG2AR0Cg', 'Koi Poke - Gainey Village')
('825nC-s-cQG6Hsul5Gm2cA', 'Pork On A Fork')
('WEQz73SfsAPNLdWjJTKU7w', 'Copper Branch')
('2JV0xGXsszojof2BuEt_hw', "Gallagher's")
('86wtLylJ9fbVuXRy5WU3Zw', 'Vegan Bites')
('YgHp9MdZ1vVdYyMEro4TtQ', 'XYZ the Tavern')
('aNe8ofTYrealxqv7VtFTuw', 'Sierra Gold')
('O40nlfiMpWAKgMx7bH9h6Q', 'The Yard Gastropub')
('Id9IbX4C7sxPf2BvgK8eTw', 'Safeway')
('U8s4-JWjZ7bNSlVEX9JEYw', 'City Fresh Pasta')
('Md6NWl54ny8hA-NVaYZuew', 'Nighttown')
('zsMMlOYtXm8SNy0bl1leBA', 'Bagel St-Henri')
('_l30CpYQoZLlnFFUrPC5Ow', 'Chez Carl Tapas Et Bar a Vin')
('iBt37-7t5GP2ZRT81yHgew', "Shakey's Sports Pub")
('_in6pQUIS1Ec57MXTPn7KQ', 'Bob Evans')
('WDTzX_C2CbAwxBbqm-od6g', 'Cowboy Monkey')
('QJMRAjCIuqrHGmeAZeYzOQ', 'Mesquite Grille')
('MJpn_jUivKSgTtjNon63hA', "Zeppe's Pizzeria")
('3Dr8WhMdmxYfGHmvCnXzmw', 'Second grill')
('dIYsRb9Qy09-Fgn4uOfuRw', 'Snakes & Lagers')
('kNtToQSP_Y5U8tznLXuCaw', "Farren's Pub & Eatery")
('geQG2a9uO6Q9hXVx937Kbw', 'Burrito Boyz')
('Zy40dBlvh7G6P0C0gqrILw', 'Chalks Billiards')
('N4r3XX7uH42aXhHvFMkxjA', 'Las Tapatias')
('D3SphPFz2cXzqGiI0LuwUw', 'Henderson Restaurant Supply')
('QCEhoMxdXkhnHJT_uYVoeg', 'Cracker Barrel Old Country Store')
('2vYRUAonMg9HBUDs30NL8g', 'Pub Bishop & Bagg')
('mFBZcwkHuys0pbyBGOhKoQ', 'Flock Rotisserie + Greens')
('WGu4NkpuGdaUo-gHRO8qxg', 'White House Meats')
('E0QRR3IO5fs9gXst0lOfpA', 'Nightowl')
('ZaMY0vMwnpx-kbAK5ROhHg', 'Panda Express')
('zY0ADAggoPSYv6F48lj64g', 'Duke and Devines')
('T46bIF2v78dkcIhVtf703A', 'Caribbean Queen Fairview Mall')
('WWtUCY03C7Xpoj0z9wKMPA', 'Route 401 Diner')
('E3yER5W6Wsyc5ncGKb9Nzw', 'Railroad Pass Hotel & Casino')
('GJtJ4PPDqrebaYOQQJ96sw', 'Sunterra Marché')
('SLlQSsSHukMz4-3-eaOgUA', 'Chick-fil-A')
('Lfl9kppQhikig4xI3UdjOA', 'Ritz Caribbean Foods')
('0FaN1j1taOB1WbzEjwIp8w', 'Landmark Tavern & Grille')
('MoxLG0Yk3MhuyuPxhQ-POQ', 'Trans Am Phx')
('Bihm6CNJuyaGU4pTA-tdoA', 'Fuze On Fourth')
('9MrHK_IBGbAuMWrjXTw6sQ', 'Samrat Indian Cuisine')
('fBnjRegibJTV1zMPMvCluA', 'Park Tavern')
('zq0_6zcREu5VGSbfqujtMA', 'Pita Pit')
('f7i3uVahlfykAQvDxx4CDg', 'Duke of Somerset')
('FRdkSUgC_SUPPNUGmgBtow', 'KFC')
('NOz8W_cUV3Dw5yLgFkKLGw', 'The Yellow Griffin')
('1XVWGkcFPvTJV0_q6xX5eA', "Applebee's Grill + Bar")
('ryozSJKdiwD_knRFasIyhA', 'Cheba Hut "Toasted" Subs - Ahwatukee')
('p7alZQ6Nb5tb9U2vgfogHw', 'Cabal')
('MgzGvq5VKDqXKigty36xRw', 'What The Hell Bar & Grill')
('nhZ1HGWD8lMErdn3FuWuTQ', "Applebee's Grill + Bar")
('Mj3MfOW3J6RrGjfn0pCGzQ', "kiddy's kingdom")
('L0LNTAw2QqbPTZNPO49xMA', "Roamin' Dough")
('QtHY560BQWGJIz9WVP10kg', 'Melrose Grill')
('HOMsxSEmk0vrZQNfJq4mDQ', 'Fountain Hills Library')
('hlYe_kxBChJEzex7SMZCLA', "Ranee's Roti")
('scIbMKZIigMz4w5Q2SltTg', 'Carson City Saloon')
('DrdhxvpwlZGhwF5vTR_QnA', 'Maison India')
('qYDp5JsCh5ebULZaFCqKiA', "Torino's Sports Pub & Restaurant")
('RB_nmlTMCS2M06c6wz4ANg', 'Toscano Italian Steakhouse')
('Iam2fTRPpAMwMN4U1UrNdg', 'El Toro')
('kJyVvFj0Jl1lS2Z7mi9pJw', 'Spur Gastropub')
('1pVxBFNio5aFS3ryw2xVmw', 'Humble Beginnings')
('upZ9FEpOh1Pr_GY-rUh0vw', 'The Beverley Hotel')
('BiNwyvye8hP_dgxggYZd1Q', 'Bon Appetit Des Caraibes')
('BgIIbIvVRk9vG-jt8KAenw', "Funk's Pub")
('xYfE1-KKb4Wd9KZAFS4Xgw', 'Tilted Kilt Pub & Eatery')
('KARmKZSvsT2oxXrhi_5zJA', 'Skymark Deli')
('9XelmxS5q9tv7uClvjGqMg', 'Seafood City Supermarket')
('YTpDMzpKydDektIS6Urmug', 'Batiment B')
('fThrN4tfupIGetkrz18JOg', 'BRIM Kitchen + Brewery')
('vtT5LzqjBjNymliYf4uEfw', 'For The Win Board Game Cafe')
('_CUz92s9Il3TTZK9d6_kQw', 'I Love Roti')
('kWnxQuHCVq2lZGt-R2j6MA', 'The Philosophers Stone Tavern')
('PlYrlj86zAYljZTRCBSZ3A', 'Nom Nom Nom Poutine')
('pJ-yaAEhNAD9EeeIuNYf-g', 'Sub Station')
('iOWviig09i0U9YRDMwp1fg', 'Maryland Deli & Liquor')
('dQ4pxV6AxBaD3X4gssg5zg', "Giuseppe's Italian Grille")
('lDW17ZfA17a-5yg1vCK3wg', 'Rooftop 210')
('HGPZSKWtDYGmPaVzsgKceA', 'Quiet Storm Vegetarian & Vegan Cafe')
('LDAOmVcTQH8-tRYO8oV0ZQ', 'Rivertowne Pub')
('JxSmlL_MckX0dvS5XBg0Cg', 'Olympos Gyros')
('WKTZk-2cH780mJGnJswwHQ', 'Oaks Gardens Restaurant')
('bSLIrhdxrxuz3p_nz1iLpg', 'The One Eighty')
('HrpUTslC8C3icEgaDD6oIw', "Allwyn's Bakery")
('ECVjFbvnzXs2LV7u3wi0vw', 'Left Seat Restaurant & Lounge')
('MkKMmLQGtuZnjw-5GqLwqQ', 'KFC')
('DwS5_jKur2mfxvqDp_gptg', "Barley's Brew Pub")
('ZZwXafda2626nFQ2TsU62g', 'KFC')
('-hnHJQWo2ijb77Yqm6EnOA', 'Dollarama')
('slMjKmGTnufGx6ZWR6Mg3A', 'Carson Street Deli & Craft Beer Bar')
('89sXlS6CuqSKJOkXIFOW_g', 'Kitchen King West Indian Restaurant & Catering')
('ojQJWz5U_UHZV3h4oGc0XQ', 'Prohibition Gaming Bar & Grill')
('SuMi4hxed5qk-M8IklFg8Q', "BJ's Restaurant & Brewhouse")
('4gowemj6VfuyslXzM7BrcQ', 'Salus Fresh Foods')
('TyZnv8aX1OJfBKoyuYgZLQ', 'The Dillinger')
('j5-MsggZKYVxpa7hrg7AOQ', 'Wildflower Bread Company')
('yfqcuTARKwO0Wx3VuMWrWQ', "TJ's On The Avenue")
('MMOEaEcq-bsg_RYWHSC4_g', 'Little Spice')
('vv1UQb95nIQ2_Ox9Zz5T6g', 'State & Main')
('KVUOj74lBgogrdKcNQH_zQ', 'King Palace')
('fSYdQCfFF5zsOapeUcY25A', 'Piada Italian Street Food')
('093n5wy09R6g3mBJOvVeqw', 'Amsterdam Rhino')
('Z411-jn51XGq7Xym7oWkwQ', 'Port of Subs')
('qk_RGuKMuTcWMg5NZLas_w', 'Cracker Barrel Old Country Store')
('PEFcy5D1nXdHS67Ge0h0Kg', 'BBQ Concepts')
('xnxemtRD8t7D691cF0J9Ag', "Harry's Hofbrau")
('XPFOOchFW1ZzAUsEoPIcJg', 'Prohibition Freehouse')
('zaw43jYgK4BGuTaYn37qMg', 'Tropical Smoothie Cafe')
('O6k6ZNlekrvKijx1rnii2A', 'Fantasy Funnel Cake')
('AY97dZLFOzhXyAKsQuEWLw', 'Monte Carlo Inn & Suites Downtown Markham')
('btA8NopfIYf7MAJ-KwhI3A', 'El Cafetal')
('sDhOeNki2qY5l4WFuZs_Zw', "Harvey's Bar and Grill")
('TNV-nSWQ_pN6wrMwAgxSkA', "Mc Govern's Club and Restaurant")
('_y7NJkOFt9NoasNXcEXuDA', 'Al Dente Trattoria')
('avjmgk1M-zyGyzLujpXi9g', 'Kitchen King Jerk')
('MiqI3DMf48AJQbfoG6fTRA', 'QDOBA Mexican Eats')
('ey8iXNVQ9HUowzmp0B9Hrg', 'SKYE')
('OYmloVC0p9qfkXvDTZvzcw', 'Salsita 14')
('c_FTil8s5PS2l_YJDQAXhA', 'Hogtown Pub & Oysters')
('fEUsAP6znkde43BYNoxLvQ', 'Rise Craft Coffee + Eatery')
('a2WtA_9HkxKe7OJ7NVA0dQ', 'Common Ground Middleton')
('XSClqCFZ8rCV2qIONha1MA', 'Level One Market')
('LGZXQsXEw5AS0P_fYXZc0A', 'Grazie Restaurant & Event Center')
('GPX3TnZ0-4pAxKPJUESbeA', "Raising Cane's")
('G6BwYw_0_atLPTzI1uokIA', 'Nacho Daddy')
('pHpU8lnnxMuPWRHOysuMIQ', 'Salut Kitchen Bar')
('9V2PyXye8zgPT9Kat5rN2w', 'Tilted Kilt Pub & Eatery')
('DcF162waTQvZd-G0G_J4wQ', 'KFC')
('MgsOZpYSntKSCzNROiWgYQ', 'Bombay Palace')
('Jjzsf_PC1EOFj9zoMI8NJw', 'Ice House Tavern and Grill')
('2RQuRcchOgTvFVrSARMHMQ', 'House of Tacos')
('lc_y2c4Guq_k54mNY_fh9g', 'W Mart')
('h6Y1-KfN2XBkcrV85CS8yg', 'Studio Movie Grill')
('ynwARDp7X2fi6hk9XCOSNQ', 'Chez Queux')
('HMaxzaWhRg4d9g4e_gDtFg', 'Chick-fil-A')
('6cvOP_D-dqLm-YDSBG646w', "Bush's Chicken")
('juvlELvm29L6hO3gvDCRJg', 'IKEA - Boucherville')
('H94fBucKEuNKsjbSy7WODg', 'Little Szechuan')
('3Bbx_AY9cN0v78YSunfiMA', 'Arrowhead Country Club')
('kKWSrSDS3buqvlm6_Quzpw', "Mario's BBQ")
('YnYTFNuZJYfYExqxCu3r5Q', 'Southeast Sandwiches')
('zW3o84i03nsJdFkA-b4cRA', 'China Lights Festival Las Vegas')
('O80rb1fWrFCwyAxExZ3NPw', 'Kings Delight Caribbean Cuisine')
('WlArCYe6xCzOe5u2Lt1how', "Domino's Pizza")
('5Bg9DcM28EUbPRffR8VECw', 'Island Palace')
('kKSRP5M_62fssd0kVJvBcQ', 'Food Truck Caravan and Events')
('2EY3L3lUFUBWu-4uVgzgqw', 'Ritz Caribbean Foods')
('Kzo1z1hW6224lNd3al2SbQ', 'Desert Peaks Pizza & Grille')
('wCtU6XrWlz_BVPESKvIekQ', 'Jamaican Spice')
('e1RcTvtihmYdf8At7hLgRw', 'JACK Cleveland Casino')
('x_AmiOc8DPAyHe5VeoDYEw', "Applebee's Grill + Bar")
('peP-yrYDj_F4sxsZT1DI7g', "Turtle Jack's Muskoka Grill")
('n5iwkQQH9nipqi_8cEyNiQ', 'Chick-fil-A')
('dGeQWmxfdQK5lL6Ag0BhIQ', 'Third Base')
('lJpcz-Hv71kbk7bkhZz7FA', 'KFC')
('9K4WIS_4L94vkExuHcc17Q', 'El Super')
('iryF6U3rpYVVQbcLnoA0MA', 'Shaya Cuisine')
('dwlKwvCVplNDMdIlszii2A', "Sammy's Sports Bar and Grill")
('mCtkHCPp7OFZtqO4Fzlp1A', 'Badger Bowl')
('j1emOWHxrVqmB-5olkdNTA', 'Mr. Chicken')
('qyRqQuEFDUY2icvGPHhvyg', 'Greater Goods')
('LQ7yyQmiDeqlevXKNFsGxw', "Rav's Creekside Tap and Grill")
('o3SafLqbLT_zT2HyqHwvhg', 'Buffalo Wild Wings')
('5vgieFiCubi43G6ciiFhNQ', 'CC Lounge & Whisky Bar')
('02hhtAO83rZBU1hflleElA', 'Pollos LaChuya')
('kh-xfdm4Yi2WbZxs4C-UUA', 'Cork and Barrel')
('0cFCPxFRWReXer2D_mCp1A', 'Last Exit Bar & Grill')
('uqEKeTzDG7S7bf-NeAbCMA', 'Apna Punjab Sweets & Restaurant')
('yM__QJKXtvLM_KFH-kpSlg', 'Wild Rose Brewery')
('9sldKNJi04KjKT-PKv-6Jw', 'Orange et Pamplemousse')
('iPua1xuSEMNn0-DPgRh4Ew', 'Cookie Dough Bliss')
('vVCA8deF2dlPXgZykhQfdw', 'Finz Raw Bar and Grill')
('rmHBam1Z0aBARUd45IG_qw', 'Mayettes')
('bRntmjztJ4dFDA_LYiEECw', 'Snakes & Lattes Annex')
('o4HbgQnUkYnTLsbb6K5hjg', 'Society Lounge')
('gjCmXkMNVE0JSk8puUwv6g', 'Eatt Gourmet Bistro')
('9qsezKsVNaNECLqVVGxJIg', 'Pedal and Cup')
('jF3sWSqa-6TyROZgSUGrIw', "Rock 'n' Horse Saloon")
('-dWbB9wKYsH-HESAANWajw', "Bottlescrew Bill's Pub / Buzzards Restaurant & Bar")
('qpaX3qOHBSOAEDUcIs8SPQ', "Raising Cane's")
('56worzbzO-fnU-0WDuabQg', 'Riggs Lounge & Restaurant')
('rjUd1AgCBnt9KUmlgzCPEg', 'Safeway Food & Drug')
('zMnojW6x-1-nVu0uCd60Ew', 'Whiskey Warehouse')
('RPlH6XiYLo5sz_nBB7hMvw', 'Joker Cafe')
('8laPibALNSasJtKjE3u4vg', "Popeye's Suppléments Montréal")
('I741NUOSrLgmmOwpe63ZZw', "Duke's Grille")
('oVmk03sRsExksDLkhIezHw', "Bobby D's Restaurant & Lounge")
('54KMQVxWMYWgHKQiZa_58Q', "PA'PA'S BBQ")
('VJd7GkzW-x3h0j4Pe5mtfw', '911 Taco Bar')
('RzXSaz2BjPBHeJzEIUKoQw', 'Street Cafe and Coffee Lounge')
('YlXLRk1EoltRbBQBLZCo-A', 'Les Soeurs Grises')
('VWMSLDPCvfqjw5DDHShQkA', 'The Wine Loft')
('YPpfR8oU_e82sc17aPnRwA', "The Doctor's House")
('x3cT4BnpmxX4bHdUf4lRpA', 'Ackee Tree')
('lB28x7MkztHZ_o-Ip3GTwg', 'Cities Bar & Grille')
('W0ei3b-a5hhHyh6C1yRcqQ', 'Wild Wing')
('z0NImASe6DNDREiIt8NF-Q', 'Native Grill & Wings')
('_DOjM_VGK-ojgjoY6esOdg', 'The Q Shack')
('fogyjtWmfXnxZ2y8R5g7Uw', 'HoneyBaked Ham')
('qeJnMI5RmyJ2TZvkqvjn6Q', "Biaggi's Ristorante Italiano")
('Aj0cXUFPVR5R-EaLWtkDMg', 'Sidelines Tavern & Grill')
('pbrsG30usbyUpHwpkOymdg', "Salsarita's Fresh Mexican Grill")
('VQPvUFt_F9lYA0g_WWMp1g', "Famous Sam's")
('wz3gOZ2dHnXic3c-YGBrrg', 'Caribbean Tasty Treats')
('16fgi4_LNRlPGcpL1ObNww', 'Q Up Barbeque')
('0BbRoMwVTZgYV1oqgtsHOw', 'Moonshine Whiskey Bar & Grill')
('9hEPwq1GmU1dp3ZyBB9ASQ', "Pt's Gold")
('SYPwKsDD6I_eoi3XlgcOBg', "Jack Astor's Bar & Grill")
('EvW1qIYjlGwtc9t972fIwA', 'Sunset Gardens Restaurant & Bar')
('Qz1MaUxveZBh58BIoir2rg', 'Caribbean Taste')
('UWuB3vikQmf0-x2ZXjxdmg', "Corleone's")
('M8I2IdqDbJCGL0ho8eFLiQ', 'QDOBA Mexican Eats')
('XMJpOti7qAamQFfHJwFBSQ', 'Remedy Restaurant and Lounge')
('44p5a3rV_VOMpYbndCpzMQ', "Gem's House Of Jerk")
('RoSo1r-ATvtgxd6sNJvzpg', 'La Gourmandine Bakery')
('EXp2vn26y90_2z52Kd3Sfg', 'Shirin Mahal Bakery & Sweets')
('SQEzO0MiY6-M1VwbYcbWtg', 'The Lodge Coffee House & Tavern')
('u8C8pRvaHXg3PgDrsUHJHQ', "Papa Del's Pizza")
('i3agjxn_g8U3Agev8_ys1w', 'The Rec Room Sports Grill')
('ms4nFq8B56RHkFViRaAiWQ', 'Das Schnitzel Haus')
('3u5el8pjsc6igwPlls0_6Q', 'Mr. Mesquite Street Tacos')
('WBt2pa7k_K2LKW2OJuXG9Q', 'Arcadia Farms Cafe')
('RqzOWT44Tlt_OIqipAgKvw', 'Gibbs Butcher Block')
('35ET2yviSxhkMmQa89rFKA', 'The Jersey Giant')
('G5YM5jbCTAFE2IDGNRjYnQ', 'La Herradero 2')
('yx09NEtQQ5RGuS1hadd5qA', 'Ritz Caribbean')
('O_OGLMX-HB9J5jLbOnnKlA', 'Sunrise Caribbean Restaurant')
('nGYvlAQkzlYWuy9YewmXSA', 'Caribu West Indian Cuisine')
('B2uv_PI7yHj__C20rXpVIQ', 'Golden Star')
('zUct0miShgOPuNad8BEJjw', 'The Guild')
('KcbFFh7xfBLl2YeXQRhUNg', 'Munch A Lunch')
('SzaXTw4F1zk5qD3HVgUcfw', 'Food Lion')
('njhAtkIZF41u4tC0RiVjOA', "Ceili's on 4th Modern Irish Pub")
('uq18-qcrtc7hcDUP7qK4Dw', 'The Prince Albert Pub')
('ANfmkeFbBgNRc4AN1bpFaw', 'Design & Dine')
('Jo1t0_Tl27ejGQO9g3GDQA', 'Competition Dining: Fire in the City')
('1laaO5PS8fLK5kPTkSSYsw', "Shoeless Joe's Sports Grill - Queens Quay")
('MA5R-mV6ljRM1MK6Mdiv5g', 'Panda Express')
('WhXlv34bw0-112MqSPmCHw', 'KFC')
('o65tYlxYwa8xkEoMr3HwWQ', 'IKEA North York')
('QeShrs6cUNBjJoTCkJiB0g', 'Legends Eatery')
('ujsqYa1yxduuB4wc0ASjMQ', 'Mercado Y Carniceria Sepulveda')
('WKlMFUCGI7dCysGkFLWvaQ', 'Stagioni')
('HfOQdfvijWVWMFgMIhVuBA', "Tootie's Famous Italian Beef")
('bdGhOieGyh-8XtH-f7S3bw', 'HoneyBaked Ham Co and Cafe')
('rquBgCfmibVkOe5zO11Ciw', 'Le Viet Sandwich')
('-zkn2p1mu9g-kbGNdM1lUA', 'Chinos Locos')
('IhYo9Szx_gPDfNOcz5-8DQ', "Shiatsu'ssage 365 Sports Massage")
('GtioOu-ZcwVJUhTgox4lsA', 'Chick-fil-A')
('ANYTIXMmXymc3xpEMUN1qw', "L'Escalier")
('CR4fW7p_6bpTkul1SdpRsg', "Moe's Southwest Grill")
('v1W1m7MwUASmIc28wyOmkw', "Dickey's Barbecue Pit")
('0zmewSkB-7NEXC8DkD5sgw', 'Espace Culinaire Fletchers')
('p18kOrlow-_hY_QZMQU8BA', 'The Brickhouse Tavern')
('1AD9s8wfB2YT4aOb4QXxiA', 'Bob Evans')
('u632XAPn08Rot9Ru9BoFNA', 'Old Pineville Premium Pub')
('OJMBldWC2jZ76k5M8JZo9A', 'Clark County Bar & Restaurant Supply')
('TitFO00SLVY6-d4B1r53iQ', 'Inspire News Cafe')
('5nvOrdr-1Du_PvCwaPpmXQ', 'The Hatrack Pub')
('hcMv4STuEeyrTWPz6XWoGA', 'Teddy Story')
('0Dzc_GdgKMYvk9737ARKTg', 'KFC')
('PsRvJffbQdaHhK9xHxB06A', 'Aztec Inn')
('m7ommfJFalI47UksyX04Iw', 'The Palomino')
('j2VQzdLBmI7QZDBXPpBywQ', "Rex's Den")
('s6_BDBxBcKWZcFbfpRzroA', 'Quik Chik')
('dHhEN6ZVp0fwef-64congw', 'Sahara Restaurant')
('1QLO57LyvlljHDHnh7zcSA', 'Lisbon By Night Restaurant')
('yOi6Lrcm9EnbVxMj0lNSnQ', 'Etoile des Indes')
('StJX1EMWre9a6HI-tRbuhQ', 'KINTON RAMEN')
('goJoOFrrwYcXn1DESHPJCA', 'Le Garde-Manger de François')
('9xAQPtjOf92wLjMHPWYEpA', 'Cili')
('WTi4ZE99EGuoI3P27vpH8g', 'Bar Hop')
('9jII6Il9Phzm6cobNexo7g', 'Sobeys')
('NWlNMG_eBIvDjCcHK46eDQ', 'The Haymaker Restaurant')
('Ndd8IYE_9rTrwHygA5AMwQ', "Sonny's BBQ")
('xjpYR4BxVpVob-DYD7y_ug', 'Mill Street Brewery')
('_pm_LHokHREl-BVO-vjcaA', "Nicey's Eatery")
('309bnXTHirKMU6wz1HwRjQ', 'Harry Buffalo')
('Gb30_Eai_rYimEcObiLUKQ', 'Puspa Restaurant')
('q5xrVJ4kivx_yEfJeOKNYQ', 'Bar Isabel')
('qnuBmj3lL_S_QQOmTI9cfw', 'Orpheum Lobby Restaurant')
('7YmqLsiqjP20G3PtxRjBgg', 'The Gastro Pub')
('CHgMr2wljJVdeElQyP3zvg', 'Rôtisserie Scores')
('55Ci8Vn7UP7KK1dMoLjgmg', 'The Olde Coach Inn')
('CYFfha5CmApflbpN1AhWHQ', 'Melted')
('0wKOp9CBQbiByRn8Qp7NIg', 'Veterinary Neurological Center')
